"Date","Price","Open","High","Low","Vol.","Change %"
"11/01/2002","431.30","424.88","431.30","392.65","","1.18%"
"10/01/2002","426.29","483.78","483.78","419.87","","-10.78%"
"09/01/2002","477.82","438.23","482.84","438.23","","4.56%"
"08/01/2002","457.00","408.83","461.73","408.83","","9.51%"
"07/01/2002","417.32","413.99","432.61","402.56","","0.62%"
"06/01/2002","414.76","391.40","414.76","376.69","","5.01%"
"05/01/2002","394.99","406.66","443.21","385.00","","-4.79%"
"04/01/2002","414.87","411.75","424.47","360.14","","2.94%"
"03/01/2002","403.02","347.83","403.02","347.83","","19.39%"
"02/01/2002","337.58","322.20","338.51","310.51","","9.61%"
"01/01/2002","307.98","340.37","350.25","294.54","","-4.18%"
"12/01/2001","321.42","332.54","344.58","299.13","","-0.11%"
"11/01/2001","321.78","341.18","372.00","295.30","","-9.20%"
"10/01/2001","354.40","396.50","396.50","354.40","","-11.19%"
"09/01/2001","399.06","463.14","507.76","371.47","","-14.69%"
"08/01/2001","467.78","450.08","470.24","440.43","","5.59%"
"07/01/2001","443.02","429.76","467.18","416.62","","1.91%"
"06/01/2001","434.72","467.00","487.10","423.30","","-8.36%"
"05/01/2001","474.36","496.25","507.29","470.43","","-2.80%"
"04/01/2001","488.02","443.48","500.54","443.48","","7.11%"
"03/01/2001","455.61","482.61","506.72","452.67","","-4.80%"
"02/01/2001","478.59","516.72","547.43","478.59","","-3.63%"
"01/01/2001","496.62","453.51","523.13","453.51","","11.18%"
"12/01/2000","446.67","525.05","525.05","429.51","","-19.46%"
"11/01/2000","554.57","529.49","580.47","518.18","","6.50%"
"10/01/2000","520.73","511.24","568.82","485.02","","6.28%"
"09/01/2000","489.95","515.38","564.77","482.00","","-4.19%"
"08/01/2000","511.36","423.92","514.45","423.92","","22.21%"
"07/01/2000","418.43","482.11","482.11","418.43","","-13.21%"
"06/01/2000","482.11","432.70","485.37","426.39","","15.76%"
"05/01/2000","416.48","368.28","438.02","368.28","","13.66%"
"04/01/2000","366.43","366.00","370.70","330.06","","-1.63%"
"03/01/2000","372.51","414.69","445.49","366.28","","-6.22%"
"02/01/2000","397.20","355.24","397.20","346.80","","14.16%"
"01/01/2000","347.94","314.58","355.99","297.62","","10.60%"
"12/01/1999","314.58","299.93","329.57","299.93","","6.63%"
"11/01/1999","295.01","268.36","324.76","266.93","","13.77%"
"10/01/1999","259.30","292.31","292.31","249.15","","-11.18%"
"09/01/1999","291.95","261.42","296.24","255.47","","11.08%"
"08/01/1999","262.84","244.18","262.84","242.39","","7.22%"
"07/01/1999","245.14","233.45","250.39","233.45","","5.55%"
"06/01/1999","232.25","197.67","232.25","197.67","","14.00%"
"05/01/1999","203.72","226.91","228.47","203.72","","-9.30%"
"04/01/1999","224.62","200.89","224.62","191.11","","11.01%"
"03/01/1999","202.34","148.24","202.82","148.24","","36.16%"
"02/01/1999","148.60","151.45","153.57","139.03","","-4.80%"
"01/01/1999","156.10","151.68","165.15","145.32","","5.39%"
"12/01/1998","148.12","142.11","156.35","135.45","","3.39%"
"11/01/1998","143.26","186.64","186.64","143.26","","-23.56%"
"10/01/1998","187.42","203.00","205.76","175.72","","-11.74%"
"09/01/1998","212.34","183.38","212.34","182.58","","19.18%"
"08/01/1998","178.17","188.13","189.50","175.02","","-8.69%"
"07/01/1998","195.13","202.09","206.25","187.17","","-2.15%"
"06/01/1998","199.42","223.27","225.65","183.24","","-12.09%"
"05/01/1998","226.85","252.04","252.04","211.62","","-5.67%"
"04/01/1998","240.48","248.36","255.55","235.79","","-3.61%"
"03/01/1998","249.48","251.64","268.98","215.76","","-1.50%"
"02/01/1998","253.28","283.52","283.52","251.15","","-11.50%"
"01/01/1998","286.18","293.41","296.33","261.74","","-3.62%"
"12/01/1997","296.94","318.50","321.49","296.27","","-9.15%"
"11/01/1997","326.86","360.95","361.17","326.86","","-9.96%"
"10/01/1997","363.02","362.54","391.99","352.34","","-0.48%"
"09/01/1997","364.78","340.94","366.16","334.30","","7.21%"
"08/01/1997","340.25","355.27","364.56","334.18","","-3.56%"
"07/01/1997","352.82","354.98","358.87","335.12","","1.00%"
"06/01/1997","349.34","376.43","376.43","332.86","","-6.75%"
"05/01/1997","374.63","356.85","397.96","351.30","","3.42%"
"04/01/1997","362.23","365.44","366.35","344.53","","-1.51%"
"03/01/1997","367.78","366.05","393.73","364.74","","0.23%"
"02/01/1997","366.95","432.32","432.32","366.95","","-15.12%"
"01/01/1997","432.32","449.59","465.87","427.85","","-4.70%"
"12/01/1996","453.62","425.17","453.62","401.17","","11.41%"
"11/01/1996","407.17","392.54","415.57","385.90","","2.30%"
"10/01/1996","398.00","405.03","435.16","398.00","","-2.70%"
"09/01/1996","409.05","382.14","412.75","379.52","","12.57%"
"08/01/1996","363.36","335.10","366.95","335.10","","11.73%"
"07/01/1996","325.22","331.48","345.77","320.29","","0.97%"
"06/01/1996","322.09","293.33","323.63","291.41","","10.30%"
"05/01/1996","292.00","294.23","316.24","287.28","","-2.58%"
"04/01/1996","299.74","286.52","322.54","286.52","","8.46%"
"03/01/1996","276.35","239.43","288.32","236.47","","14.83%"
"02/01/1996","240.66","212.59","244.48","210.55","","13.01%"
"01/01/1996","212.95","232.33","237.61","209.47","","-7.12%"
"12/01/1995","229.28","212.29","229.28","212.29","","9.49%"
"11/01/1995","209.41","201.17","211.71","200.15","","4.68%"
"10/01/1995","200.04","197.16","200.04","188.56","","2.04%"
"09/01/1995","196.04","197.40","205.99","192.80","","0.43%"
"08/01/1995","195.21","191.18","196.96","188.54","","2.92%"
"07/01/1995","189.67","185.44","189.67","181.13","","2.28%"
"06/01/1995","185.44","199.88","203.58","185.44","","-7.17%"
"05/01/1995","199.77","214.53","214.53","197.65","","-6.33%"
"04/01/1995","213.28","197.95","213.80","197.95","","6.96%"
"03/01/1995","199.41","189.86","199.93","186.16","","4.06%"
"02/01/1995","191.63","190.02","194.11","187.40","","1.56%"
"01/01/1995","188.68","178.24","189.91","177.53","","3.95%"
"12/01/1994","181.51","182.53","182.53","172.01","","-1.83%"
"11/01/1994","184.89","190.10","192.64","178.03","","-0.12%"
"10/01/1994","185.11","186.20","186.91","173.92","","-1.66%"
"09/01/1994","188.24","180.44","188.24","172.48","","3.79%"
"08/01/1994","181.37","209.95","209.95","174.56","","-12.55%"
"07/01/1994","207.39","193.27","207.39","189.22","","8.19%"
"06/01/1994","191.69","174.80","195.85","170.39","","9.06%"
"05/01/1994","175.76","160.64","175.76","157.83","","11.09%"
"04/01/1994","158.21","147.28","161.39","145.23","","14.69%"
"03/01/1994","137.95","137.86","142.06","131.33","","1.38%"
"02/01/1994","136.07","150.80","151.94","132.78","","-5.43%"
"01/01/1994","143.88","140.31","148.60","138.29","","5.36%"
"12/01/1993","136.56","152.31","152.31","135.98","","-10.05%"
"11/01/1993","151.81","174.09","174.69","150.63","","-10.17%"
"10/01/1993","168.99","187.87","189.23","168.99","","-10.82%"
"09/01/1993","189.49","185.09","189.49","172.57","","0.58%"
"08/01/1993","188.39","189.06","193.64","181.69","","0.15%"
"07/01/1993","188.11","196.69","196.69","184.01","","-6.39%"
"06/01/1993","200.95","218.80","218.80","200.63","","-7.15%"
"05/01/1993","216.42","224.43","224.43","211.99","","-3.38%"
"04/01/1993","223.99","225.97","227.40","219.85","","-0.49%"
"03/01/1993","225.09","227.71","232.91","217.60","","-0.77%"
"02/01/1993","226.83","224.46","227.82","214.01","","1.30%"
"01/01/1993","223.91","212.35","225.57","204.46","","2.96%"
"12/01/1992","217.48","218.73","222.83","211.31","","-2.47%"
"11/01/1992","222.99","233.93","233.93","222.99","","-3.98%"
"10/01/1992","232.24","245.02","251.11","232.24","","-4.69%"
"09/01/1992","243.68","241.15","248.73","241.15","","1.80%"
"08/01/1992","239.37","239.69","240.04","232.40","","-1.46%"
"07/01/1992","242.91","242.27","244.93","235.60","","1.47%"
"06/01/1992","239.39","243.85","253.69","239.39","","-2.19%"
"05/01/1992","244.74","231.99","244.74","225.26","","5.50%"
"04/01/1992","231.99","221.18","231.99","220.74","","7.05%"
"03/01/1992","216.72","206.50","217.06","206.50","","3.04%"
"02/01/1992","210.33","214.86","225.17","205.71","","-1.80%"
"01/01/1992","214.18","221.56","221.56","203.30","","-1.46%"
"12/01/1991","217.36","239.79","239.79","210.31","","-11.04%"
"11/01/1991","244.34","269.36","269.36","239.11","","-7.54%"
"10/01/1991","264.27","249.48","270.61","249.48","","5.88%"
"09/01/1991","249.59","249.31","250.60","239.09","","0.02%"
"08/01/1991","249.53","237.51","251.44","237.51","","3.07%"
"07/01/1991","242.09","230.57","247.56","229.57","","6.02%"
"06/01/1991","228.35","235.97","235.97","219.91","","-3.23%"
"05/01/1991","235.97","236.33","244.21","232.62","","1.23%"
"04/01/1991","233.11","211.63","238.33","211.63","","8.24%"
"03/01/1991","215.36","208.79","224.79","203.98","","4.33%"
"02/01/1991","206.42","213.53","227.68","192.95","","-4.23%"
"01/01/1991","215.53","256.49","303.08","190.01","","-21.73%"
"12/01/1990","275.37","276.11","290.41","238.58","","0.77%"
"11/01/1990","273.27","322.02","327.31","273.27","","-15.28%"
"10/01/1990","322.57","327.61","355.33","268.91","","-7.57%"
"09/01/1990","348.98","251.27","349.25","251.27","","48.04%"
